CityName,RegionName,Address,DeptNm,BranchNm
設置縣市,設置市區鄉鎮,設置地址,管轄警局,管轄分局
連江縣,南竿鄉,介壽村47-10號前,連江縣警察局,南竿警察所
連江縣,北竿鄉,塘岐村168號前,連江縣警察局,北竿警察所
連江縣,北竿鄉,板里村46號前,連江縣警察局,北竿警察所
金門縣,金城鎮,西海路水頭路段,金門縣警察局,金城分局
金門縣,福建省金門縣金城鎮,西海路金城消防分隊路段,金門縣警察局,金城分局
金門縣,金城鎮,西海路空中大學路段(空中大學附近),金門縣警察局,金城分局
金門縣,金城鎮,環島南路小西門路段,金門縣警察局,金城分局
金門縣,金沙鎮,環島北路4段洋山路段(警光會館附近),金門縣警察局,金湖分局
金門縣,金沙鎮,高陽路蔡厝路段,金門縣警察局,金湖分局
金門縣,金湖鎮,環島南路環保公園路段(環保局附近),金門縣警察局,金湖分局
金門縣,福建省金門縣金湖鎮,瓊徑路小徑路段(小徑茶室附近),金門縣警察局,金湖分局
金門縣,金湖鎮,環島南路后園路段(168加油站附近),金門縣警察局,金湖分局
金門縣,福建省金門縣金湖鎮,太湖路鑑潭山莊路段(鑑潭山莊附近),金門縣警察局,金湖分局
金門縣,金湖鎮,黃海路監理站路段,金門縣警察局,金湖分局
金門縣,金湖鎮,金港路料羅路段,金門縣警察局,金湖分局
金門縣,金寧鄉,慈湖路湖下路段,金門縣警察局,金城分局
金門縣,金寧鄉,環島北路鎮西路段,金門縣警察局,金城分局
金門縣,金寧鄉,環島南路后湖路段,金門縣警察局,金城分局
金門縣,金寧鄉,桃園路金寧加油站路段(金寧加油站附近),金門縣警察局,金城分局
金門縣,金寧鄉,環島北路頂堡路段(環北頂林路口附近),金門縣警察局,金城分局
金門縣,金寧鄉,伯玉路盤果路口,金門縣警察局,金城分局
金門縣,金寧鄉,環島南路中心教練場路段(中心教練場附近),金門縣警察局,金城分局
金門縣,金寧鄉,桃園路雙乳山路段,金門縣警察局,金城分局
金門縣,金寧鄉,環島北路后盤山路段,金門縣警察局,金城分局
金門縣,金湖鎮,黃海路陽明湖路段(陽明營區附近),金門縣警察局,金湖分局
宜蘭縣,宜蘭市,台9線78k中山路五段南下,宜蘭縣政府警察局,宜蘭分局
宜蘭縣,宜蘭市,中山路1段560號前北上,宜蘭縣政府警察局,宜蘭分局
宜蘭縣,宜蘭市,宜16線5.5K南津路東向,宜蘭縣政府警察局,宜蘭分局
宜蘭縣,宜蘭市,台9線79k+550m環市東路與192甲線路口北上,宜蘭縣政府警察局,宜蘭分局
宜蘭縣,宜蘭市,台9線80k+700m環市東路黎霧橋南端南下,宜蘭縣政府警察局,宜蘭分局
宜蘭縣,宜蘭市,台9線81k+595m環市東路北上,宜蘭縣政府警察局,宜蘭分局
宜蘭縣,宜蘭市,台7線123k+900m東港段東向,宜蘭縣政府警察局,宜蘭分局
宜蘭縣,宜蘭市,191線與宜14線路口北上,宜蘭縣政府警察局,宜蘭分局
宜蘭縣,羅東鎮,公正路324號東西雙向,宜蘭縣政府警察局,羅東分局
宜蘭縣,羅東鎮,台7丙線28k+98ｍ中山路東向,宜蘭縣政府警察局,羅東分局
宜蘭縣,蘇澳鎮,台9線100k+224m新城段北上,宜蘭縣政府警察局,蘇澳分局
宜蘭縣,蘇澳鎮,台9線117k+772m新澳隧道北上,宜蘭縣政府警察局,蘇澳分局
宜蘭縣,蘇澳鎮,台9線102k+200m聖湖段南下,宜蘭縣政府警察局,蘇澳分局
宜蘭縣,蘇澳鎮,台9線109k+240m東澳隧道南下,宜蘭縣政府警察局,蘇澳分局
宜蘭縣,蘇澳鎮,台9線103k+562m南下,宜蘭縣政府警察局,蘇澳分局
宜蘭縣,蘇澳鎮,蘇澳鎮台9線108k+269m至南澳鄉台9線110k+995m東澳隧道南下-1,宜蘭縣政府警察局,蘇澳分局
宜蘭縣,蘇澳鎮,台2線164k+390m港邊段南下,宜蘭縣政府警察局,蘇澳分局
宜蘭縣,蘇澳鎮,台2線166k+259m蘇澳港段南下,宜蘭縣政府警察局,蘇澳分局
宜蘭縣,蘇澳鎮,台2戊線12k+215m移山路北上,宜蘭縣政府警察局,蘇澳分局
宜蘭縣,頭城鎮,台9線56k+600m至68k+600m北往南-1,宜蘭縣政府警察局,礁溪分局
宜蘭縣,頭城鎮,台9線68k+600m至56k+600m南往北-2,宜蘭縣政府警察局,礁溪分局
宜蘭縣,頭城鎮,台9線69ｋ+20ｍ北宜路一段南下,宜蘭縣政府警察局,礁溪分局
宜蘭縣,頭城鎮,台9線68.6K北宜路一段南下,宜蘭縣政府警察局,礁溪分局
宜蘭縣,頭城鎮,台9線56k+600m至68k+600m北往南-2,宜蘭縣政府警察局,礁溪分局
宜蘭縣,頭城鎮,台9線68k+600m至56k+600m南往北-1,宜蘭縣政府警察局,礁溪分局
宜蘭縣,頭城鎮,宜3線3k+850m宜三路南下,宜蘭縣政府警察局,礁溪分局
宜蘭縣,頭城鎮,191甲線2ｋ+50ｍ中崙段南下,宜蘭縣政府警察局,礁溪分局
宜蘭縣,頭城鎮,台2線139k+738ｍ竹安段南下,宜蘭縣政府警察局,礁溪分局
宜蘭縣,頭城鎮,台2線133k+769ｍ港口段南下,宜蘭縣政府警察局,礁溪分局
宜蘭縣,頭城鎮,台2線131k+121m外澳段南下,宜蘭縣政府警察局,礁溪分局
宜蘭縣,頭城鎮,台2線129k+309m梗枋國小南下,宜蘭縣政府警察局,礁溪分局
宜蘭縣,頭城鎮,台2線128k+754m梗枋段南下,宜蘭縣政府警察局,礁溪分局
宜蘭縣,頭城鎮,台2線128k+65m梗枋地磅站北上,宜蘭縣政府警察局,礁溪分局
宜蘭縣,頭城鎮,台2線123ｋ+642ｍ大溪段北上,宜蘭縣政府警察局,礁溪分局
宜蘭縣,頭城鎮,台2線122k+634ｍ大溪段南下,宜蘭縣政府警察局,礁溪分局
宜蘭縣,頭城鎮,台2線118k+49m大里段南下,宜蘭縣政府警察局,礁溪分局
宜蘭縣,礁溪鄉,191線4K瑪僯段北上,宜蘭縣政府警察局,礁溪分局
宜蘭縣,礁溪鄉,份尾三路北上(份尾橋南側100公尺處),宜蘭縣政府警察局,礁溪分局
宜蘭縣,礁溪鄉,191甲線6ｋ+600ｍ玉田段北上,宜蘭縣政府警察局,礁溪分局
宜蘭縣,礁溪鄉,宜4線4k+280m大塭段東向,宜蘭縣政府警察局,礁溪分局
宜蘭縣,壯圍鄉,191線與雪隧路口南下,宜蘭縣政府警察局,礁溪分局
宜蘭縣,壯圍鄉,宜16線7k+500ｍ新南段西向,宜蘭縣政府警察局,礁溪分局
宜蘭縣,壯圍鄉,宜16線9ｋ+500ｍ美福段東向,宜蘭縣政府警察局,礁溪分局
宜蘭縣,壯圍鄉,宜20線1ｋ+150m新南段西向,宜蘭縣政府警察局,礁溪分局
宜蘭縣,壯圍鄉,台2線147ｋ+40ｍ過嶺國小南下,宜蘭縣政府警察局,礁溪分局
宜蘭縣,壯圍鄉,台2線148k+400m後埤段北上,宜蘭縣政府警察局,礁溪分局
宜蘭縣,壯圍鄉,台2線142k+480ｍ大福段北上,宜蘭縣政府警察局,礁溪分局
宜蘭縣,壯圍鄉,台2線150ｋ+199m公館段南下,宜蘭縣政府警察局,礁溪分局
宜蘭縣,員山鄉,台7線113k+357ｍ內城段東向,宜蘭縣政府警察局,宜蘭分局
宜蘭縣,員山鄉,宜18-2線9ｋ深溝段西向,宜蘭縣政府警察局,宜蘭分局
宜蘭縣,員山鄉,台7線115k+865m八甲段西向,宜蘭縣政府警察局,宜蘭分局
宜蘭縣,員山鄉,宜61線900ｍ深溝段南下,宜蘭縣政府警察局,宜蘭分局
宜蘭縣,員山鄉,宜61線1ｋ+200ｍ深溝段北上,宜蘭縣政府警察局,宜蘭分局
宜蘭縣,員山鄉,宜18-2線溪洲路346號東向,宜蘭縣政府警察局,宜蘭分局
宜蘭縣,員山鄉,宜18-2線溪洲路150號西向,宜蘭縣政府警察局,宜蘭分局
宜蘭縣,冬山鄉,台9線94k+450ｍ冬山段南下,宜蘭縣政府警察局,羅東分局
宜蘭縣,五結鄉,宜22線1k+500ｍ二結段東向,宜蘭縣政府警察局,羅東分局
宜蘭縣,五結鄉,191線與宜24線路口南下,宜蘭縣政府警察局,羅東分局
宜蘭縣,五結鄉,191線與196線路口北上,宜蘭縣政府警察局,羅東分局
宜蘭縣,五結鄉,191線與傳藝路口南下,宜蘭縣政府警察局,羅東分局
宜蘭縣,五結鄉,台7丙線29K+743M親河路西向,宜蘭縣政府警察局,羅東分局
宜蘭縣,五結鄉,宜22線6ｋ錦草段西向,宜蘭縣政府警察局,羅東分局
宜蘭縣,五結鄉,台2線157k+200m利澤段北上,宜蘭縣政府警察局,羅東分局
宜蘭縣,三星鄉,196線3ｋ+800ｍ萬富段東向,宜蘭縣政府警察局,三星分局
宜蘭縣,三星鄉,台7丙線18ｋ+342ｍ大隱段東向,宜蘭縣政府警察局,三星分局
宜蘭縣,三星鄉,台7丙線19ｋ+865m大隱段西向,宜蘭縣政府警察局,三星分局
宜蘭縣,三星鄉,196線7ｋ+900ｍ大埔段西向,宜蘭縣政府警察局,三星分局
宜蘭縣,三星鄉,宜61線3ｋ+600ｍ大洲段南下,宜蘭縣政府警察局,三星分局
宜蘭縣,三星鄉,宜61線3ｋ+800ｍ大洲段北上,宜蘭縣政府警察局,三星分局
宜蘭縣,三星鄉,196線11ｋ大洲段東向,宜蘭縣政府警察局,三星分局
宜蘭縣,南澳鄉,台9線137K+295m至141K+458m谷風隧道南下-2,宜蘭縣政府警察局,蘇澳分局
宜蘭縣,南澳鄉,台9線141K+420m至137K+205m谷風隧道北上-2,宜蘭縣政府警察局,蘇澳分局
宜蘭縣,南澳鄉,台9線139k+667m谷風隧道北上,宜蘭縣政府警察局,蘇澳分局
